,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,RES,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
104,2024-11-03,Verona,Roma,3.0,2.0,H,2.0,1.0,H,13.0,10.0,22.0,11.0,4.0,4.0,14.0,5.0,9,13,L,W,L,L,L,L,W,D,L,W,11
105,2024-11-03,Inter,Venezia FC,1.0,0.0,H,0.0,0.0,D,24.0,10.0,13.0,18.0,12.0,6.0,6.0,12.0,21,8,W,W,D,D,W,L,W,L,W,L,11
106,2024-11-04,Empoli,Como 1907,1.0,0.0,H,0.0,0.0,D,7.0,12.0,9.0,21.0,5.0,4.0,2.0,9.0,11,9,L,L,D,L,L,D,L,L,D,W,11
107,2024-11-04,Parma,Genoa,0.0,1.0,A,0.0,0.0,D,14.0,7.0,16.0,21.0,8.0,2.0,5.0,5.0,9,6,D,L,D,L,D,D,D,L,L,L,11
108,2024-11-04,Lazio,Cagliari,2.0,1.0,H,1.0,1.0,D,22.0,8.0,13.0,17.0,10.0,3.0,5.0,7.0,19,9,W,L,W,L,L,W,W,D,W,W,11
109,2024-11-07,Genoa,Como 1907,1.0,1.0,D,0.0,1.0,A,7.0,12.0,21.0,21.0,2.0,4.0,5.0,9.0,6,9,L,L,L,L,D,D,L,L,L,W,11
110,2024-11-08,Lecce,Empoli,1.0,1.0,D,0.0,1.0,A,4.0,8.0,20.0,9.0,2.0,5.0,9.0,2.0,8,14,L,W,W,L,L,D,L,L,L,L,12
111,2024-11-09,Venezia FC,Parma,1.0,2.0,A,1.0,1.0,D,10.0,14.0,19.0,17.0,6.0,8.0,12.0,5.0,8,9,L,L,W,D,D,D,L,D,L,D,12
112,2024-11-09,Cagliari,Milan,3.0,3.0,D,1.0,2.0,A,9.0,20.0,19.0,14.0,4.0,13.0,8.0,7.0,9,18,L,D,L,W,L,L,W,W,D,L,12
113,2024-11-09,Juventus,Torino,2.0,0.0,H,1.0,0.0,H,19.0,15.0,7.0,16.0,10.0,6.0,5.0,8.0,21,14,W,L,D,L,D,W,W,L,D,L,12
114,2024-11-10,Atalanta,Udinese,2.0,1.0,H,0.0,1.0,A,29.0,14.0,14.0,16.0,16.0,6.0,6.0,9.0,22,16,W,L,W,L,W,W,W,L,W,W,12
115,2024-11-10,Fiorentina,Verona,3.0,1.0,H,1.0,1.0,D,22.0,16.0,9.0,24.0,11.0,6.0,8.0,15.0,22,12,W,W,W,L,W,L,W,L,W,W,12
116,2024-11-10,Roma,Bologna,2.0,3.0,A,0.0,1.0,A,12.0,15.0,14.0,13.0,5.0,5.0,7.0,4.0,13,18,L,W,W,W,L,W,L,D,D,D,12
117,2024-11-10,Monza,Lazio,0.0,1.0,A,0.0,1.0,A,10.0,24.0,14.0,14.0,6.0,11.0,8.0,6.0,8,22,L,W,L,W,D,W,W,L,D,W,12
118,2024-11-10,Inter,Napoli,1.0,1.0,D,1.0,1.0,D,25.0,18.0,13.0,8.0,12.0,7.0,6.0,4.0,24,25,W,L,W,W,D,W,W,W,W,W,12
119,2024-11-23,Verona,Inter,0.0,5.0,A,0.0,5.0,A,16.0,25.0,24.0,13.0,6.0,12.0,15.0,6.0,12,24,W,W,L,W,L,D,L,W,W,W,12
120,2024-11-23,Milan,Juventus,0.0,0.0,D,0.0,0.0,D,20.0,21.0,14.0,7.0,13.0,11.0,7.0,5.0,19,24,D,W,D,W,W,D,L,D,W,W,13
121,2024-11-23,Parma,Atalanta,1.0,3.0,A,0.0,2.0,A,16.0,31.0,18.0,15.0,9.0,16.0,6.0,7.0,12,25,W,W,L,W,D,W,D,W,D,W,13
122,2024-11-24,Genoa,Cagliari,2.0,2.0,D,1.0,1.0,D,9.0,12.0,22.0,22.0,2.0,5.0,6.0,10.0,10,10,D,D,W,L,L,L,L,L,D,W,13
123,2024-11-24,Como 1907,Fiorentina,0.0,2.0,A,0.0,1.0,A,13.0,25.0,23.0,10.0,5.0,12.0,9.0,9.0,10,25,D,W,L,W,L,W,L,W,D,W,13
